"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"OI Delta";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2022-12-15 00:00:00";"1941951";"1387085";"541";"4043";"3908";"4037";"3922,25";"-17573";"14801";"-1";"-1";"459";"27935";"3927";"16571";"-547";"597";"-305";"-535";"11263";"-1492";"0";"3948,25";"3909,75";"14615";"12197";"4641";"4053"
"2022-12-14 00:00:00";"1581723";"1220836";"376";"4090,75";"3997";"4054,5";"4038,25";"-4901";"-7605";"-1";"-1";"65";"12988";"4078";"9592";"32";"-432";"-174";"392";"12226";"106846";"0";"4085,75";"4033,25";"-9597";"-4566";"2302";"-1452"
"2022-12-13 00:00:00";"2097953";"1596977";"651";"4180";"4017,5";"4022,25";"4053,5";"5013";"-5569";"1";"1";"125";"17585";"4055,25";"10583";"541";"731";"466";"661";"13628";"114298";"0";"4105,5";"4017,75";"-11710";"-5190";"-1950";"-1448"
"2022-12-12 00:00:00";"1094261";"743592";"281";"4026";"3956";"3965,75";"4019,75";"14349";"10005";"1";"1";"216";"17609";"3989,25";"11626";"-295";"-489";"-154";"703";"7666";"424824";"0";"3998";"3966,5";"1444";"9520";"3674";"1866"
"2022-12-09 00:00:00";"1101006";"752454";"241";"3990";"3930";"3964,75";"3931,5";"2086";"-3256";"-1";"-1";"133";"15642";"3962";"9686";"2256";"1836";"750";"-1579";"9244";"-733616";"0";"3977,5";"3954";"-5777";"-3898";"2572";"2494"
"2022-12-08 00:00:00";"1481556";"963416";"246";"3977,25";"3916";"3935,75";"3964,25";"5302";"-3326";"1";"1";"114";"27861";"3965,5";"14228";"-1049";"-2477";"-249";"-634";"9178";"-4313";"0";"3970,75";"3953";"1940";"-1655";"-2989";"-2559"
"2022-12-07 00:00:00";"1658264";"1152318";"191";"3961,5";"3914";"3944,5";"3934,5";"-28682";"-6452";"1";"-1";"40";"31100";"3935,75";"18865";"-2290";"-540";"-575";"-698";"10332";"-84471";"0";"3946,25";"3931";"-7083";"-1795";"2998";"-1831"
"2022-12-06 00:00:00";"1772440";"1138686";"374";"4014,75";"3921,5";"4005,75";"3945";"-18296";"-17724";"-1";"-1";"243";"14869";"3945,5";"6392";"2469";"565";"-414";"745";"9242";"-26239";"0";"3967,25";"3925";"-18863";"5853";"-2974";"-2532"
"2022-12-05 00:00:00";"1421482";"950513";"355";"4075,75";"3987,25";"4074";"4006,25";"-9592";"-7092";"-1";"-1";"271";"12209";"4004";"5005";"533";"655";"-229";"-644";"8771";"-24518";"0";"4037,5";"3989";"-7106";"6596";"2082";"1464"
"2022-12-02 00:00:00";"1768951";"1198205";"316";"4085,5";"4006,75";"4077,5";"4066,75";"-19431";"-14709";"1";"-1";"43";"19211";"4075,25";"9951";"625";"-627";"-387";"-629";"9803";"-40989";"0";"4081,5";"4043";"-11107";"-7463";"-6232";"-4428"
"2022-12-01 00:00:00";"1760239";"1245070";"223";"4110";"4054,5";"4094,5";"4077,5";"-15543";"-8427";"-1";"-1";"68";"27799";"4081,25";"15590";"201";"809";"241";"-472";"10273";"-6507";"0";"4092,5";"4072";"-6802";"-3311";"-3396";"-2180"
"2022-11-30 00:00:00";"2350960";"1463085";"604";"4093,5";"3942,75";"3962,25";"4093";"25872";"41274";"1";"1";"523";"20740";"4081,75";"4136";"192";"-122";"-555";"-1489";"9935";"-28987";"0";"4093,5";"3965,25";"-13";"48727";"-4535";"-4865"
"2022-11-29 00:00:00";"1444093";"912601";"197";"3990,25";"3941,25";"3972";"3962,25";"-14803";"2167";"-1";"-1";"39";"20829";"3961,75";"9115";"-2445";"-551";"186";"-507";"8524";"24560";"0";"3971";"3948,25";"-753";"2023";"-2484";"1770"
"2022-11-28 00:00:00";"1423699";"876367";"256";"4024";"3960,25";"4020,25";"3971,5";"-18959";"-13885";"-1";"-1";"195";"17320";"3971";"8596";"602";"-538";"-235";"-532";"8150";"-918";"0";"4002,25";"3960,25";"-14530";"8265";"3859";"3664"
"2022-11-25 00:00:00";"455519";"303847";"86";"4046";"4024,75";"4043,75";"4034,25";"955";"765";"-1";"-1";"38";"17110";"4035";"10758";"-1612";"-1174";"167";"412";"4740";"18934";"0";"4036,75";"4029";"757";"11";"1953";"-1206"
"2022-11-24 00:00:00";"107942";"86032";"49";"4049,25";"4037,25";"4038,75";"4043,5";"-1014";"1370";"1";"1";"19";"4769";"4042";"3892";"-245";"-65";"-150";"205";"3636";"0";"473";"4045,25";"4039,5";"-383";"1653";"1042";"784"
"2022-11-23 00:00:00";"1229448";"822775";"151";"4039,5";"4002";"4010";"4039,25";"-278";"-14310";"1";"1";"117";"24419";"4031,5";"16044";"-1629";"-777";"-755";"-819";"7993";"0";"0";"4038,75";"4016,5";"448";"-117";"3945";"-2507"
"2022-11-22 00:00:00";"1110558";"716412";"270";"4012,5";"3945,25";"3957,75";"4009,25";"8448";"13344";"1";"1";"206";"16599";"4009";"8326";"-491";"589";"-310";"-604";"7834";"-13511";"0";"4012";"3977";"2138";"14036";"-2079";"1550"
"2022-11-21 00:00:00";"1137212";"758154";"179";"3982";"3937,5";"3972,5";"3958";"-13670";"-2440";"-1";"-1";"58";"28011";"3958";"15817";"-629";"485";"197";"440";"8853";"-6333";"0";"3965";"3952";"-2656";"3564";"-2890";"-1935"
"2022-11-18 00:00:00";"1470776";"993717";"207";"3994";"3942,5";"3960,5";"3971,5";"17366";"6794";"-1";"1";"44";"16135";"3956,5";"10919";"-751";"-627";"300";"-546";"10135";"-15927";"0";"3975,25";"3951,5";"6208";"17676";"2345";"1879"
"2022-11-17 00:00:00";"1510326";"1029156";"312";"3990,25";"3912,5";"3977,25";"3961";"-6958";"4172";"-1";"-1";"65";"16036";"3945";"10382";"-1056";"-416";"613";"633";"10224";"-915";"0";"3959,5";"3922,5";"1151";"11025";"2336";"2120"
"2022-11-16 00:00:00";"1441568";"1028541";"216";"4015,75";"3962";"3992";"3974";"3600";"-13404";"-1";"-1";"72";"22318";"3969,5";"12349";"-144";"100";"650";"716";"11637";"-5562";"0";"3983,25";"3965,75";"-16381";"-2328";"2757";"-2165"
"2022-11-15 00:00:00";"2156623";"1570772";"364";"4050,75";"3960";"3974,75";"3994,75";"-8743";"11377";"-1";"1";"80";"18393";"4025";"11271";"595";"97";"-381";"825";"12803";"-25252";"0";"4038";"3993,75";"2322";"12947";"-2270";"1958"
"2022-11-14 00:00:00";"1516287";"1055933";"215";"4017,5";"3964";"3984";"3975";"-5749";"-16433";"-1";"-1";"36";"16610";"3989";"12445";"-852";"-572";"-462";"-597";"10556";"-621";"0";"4004,25";"3981";"-12950";"1477";"2127";"1546"
"2022-11-11 00:00:00";"1844878";"1297457";"236";"4009,75";"3951";"3973";"3999,5";"130";"-18132";"1";"1";"106";"16720";"3967";"12364";"-122";"194";"222";"-544";"12106";"-19921";"0";"3993,5";"3960,25";"-5934";"-15999";"2712";"1620"
"2022-11-10 00:00:00";"2296673";"1544291";"889";"3973,5";"3751,5";"3757";"3973";"10141";"4775";"1";"1";"864";"18594";"3960";"6589";"-2454";"-2312";"-544";"1862";"12212";"-2415";"0";"3967";"3892,5";"0";"-849";"-7842";"-7942"
"2022-11-09 00:00:00";"1828295";"1268611";"396";"3848,75";"3750";"3832,5";"3756,25";"-18053";"-17187";"-1";"-1";"305";"17222";"3800,75";"12207";"1448";"-164";"-500";"-726";"12594";"46270";"0";"3846,75";"3776,25";"-17886";"3538";"3303";"-1866"
"2022-11-08 00:00:00";"1811300";"1247315";"298";"3867";"3792,75";"3812,75";"3832,75";"12740";"21456";"-1";"1";"80";"21868";"3835";"10788";"-756";"-1152";"-355";"-547";"9995";"-12108";"0";"3847,25";"3809,75";"-3202";"4957";"5219";"5611"
"2022-11-07 00:00:00";"1442593";"1036697";"335";"3821,75";"3738,25";"3750";"3812,25";"13739";"16129";"1";"1";"249";"19962";"3815,25";"10476";"-524";"456";"-189";"951";"11319";"1866";"0";"3821,75";"3785";"4378";"15660";"3018";"2040"
