Volume,Trades,Bar Size,High,Low,Open,Close,Delta T/D,Delta Aggressor,H/L Side,O/C Side,O/C Size,Max Volume,M/V Price,M/V Trades,M/V Delta T/D,M/V Delta Aggressor,Max Trade,Max Tick,Ticks Number,OI Delta,TPO High,TPO Low,COT High,COT Low,Max Delta T/D,Max Delta Aggressor,returns
1552506,740965,182,2894.75,2849.5,2851.0,2891.5,11176,20468,1,1,162,46426,2889.0,17324,570,-1824,0,0,0,-55733,2894.5,2873.5,-3944,22048,-7777,-5593,-0.010522713662417638
2453947,1387358,217,2871.75,2817.75,2836.0,2851.75,5427,-181,1,1,63,55134,2848.0,26305,-2748,356,0,0,0,-198,2857.25,2841.25,8397,13556,5784,-3161,-0.013747190039771762
2686177,1322154,404,2936.5,2835.75,2931.0,2835.75,-44587,-23001,-1,-1,381,26665,2844.25,12798,1639,-487,0,0,0,23883,2880.0,2839.5,-23872,0,-3455,-2988,-0.0056105899886035315
2130382,1078903,311,2944.25,2866.75,2882.25,2931.75,74608,38598,1,1,198,42417,2928.0,20225,137,219,0,0,0,12636,2943.5,2912.75,3300,43768,5573,3850,0.033853477915895214
1661198,793316,235,2931.0,2872.5,2918.75,2882.25,-50790,-29048,-1,-1,146,30118,2883.5,7526,-5212,-3702,0,0,0,7703,2900.0,2874.75,-31612,-13329,-5212,-3702,-0.016884113584036853
1962653,943968,148,2935.75,2899.0,2928.0,2923.75,479,1339,-1,-1,17,32135,2919.0,11634,2365,1667,0,0,0,-13087,2931.5,2914.5,-993,3755,3518,-3120,0.014398473414866775
1730455,812908,282,2940.75,2870.5,2879.0,2939.0,56553,27565,1,1,240,26742,2928.5,12300,-534,-1002,0,0,0,-3623,2940.5,2900.0,-936,29379,7835,7147,0.005215904232578117
2585714,1359947,274,2891.5,2823.25,2873.75,2880.0,-13174,-2176,1,1,25,20752,2855.0,10360,-2004,-538,0,0,0,-21545,2879.75,2842.5,-9058,11550,-3133,2847,-0.02007485539299081
2532040,1331633,433,2883.75,2775.75,2816.25,2875.5,45310,30488,1,1,237,31454,2854.0,16490,4500,1046,0,0,0,-23022,2879.0,2846.0,5648,30649,4500,-2949,-0.0015625000000000222
2952576,1415773,453,2933.5,2820.5,2929.25,2824.75,-81172,-48832,-1,-1,418,23716,2844.75,10188,1706,554,0,0,0,-18231,2877.25,2828.75,-47476,-12939,-4462,-3228,-0.017649104503564605
2371316,1195400,191,2961.0,2913.5,2950.25,2934.5,-5934,-13616,-1,-1,63,27563,2930.0,10771,-2767,-3499,0,0,0,-43025,2944.25,2922.0,-18544,10781,-4250,-3499,0.038852995840339855
2677657,1260846,280,3014.25,2944.5,2970.25,2948.75,-3257,13795,-1,-1,86,32476,2955.0,12567,1296,3092,0,0,0,-5699,2990.75,2949.25,-16357,13560,-4687,-3649,0.004856023172601809
1883598,889060,252,3020.75,2958.0,3016.25,2973.5,-25614,-34728,-1,-1,171,52737,3015.25,23071,1615,-2351,0,0,0,29898,3020.5,2987.5,-35711,-6105,-8396,-2435,0.008393387028401866
1154248,502312,105,3027.5,3001.5,3022.25,3015.25,3888,-7864,-1,-1,28,44815,3013.25,19006,-1935,-735,0,0,0,-22980,3015.0,3008.25,-8504,2391,-6922,-3922,0.014040692786278841
